userID,status,commentBody,approveDate,recommendationCount,location,display_name,userComments,times_people,commentSequence,editorsSelection,ArticleRelevance,ConversationalRelevance,PersonalXP,Readability,Brevity,RecommendationScore,latitude,longitude,AVGPersonalXP,AVGReadability,AVGBrevity,AVGRecommendationScore,AVGPicks,AVGcommentspermonth
68648238,approved,I am afraid for our future. The founders state that high school students were deemed too immature for their app. It seems to me that their college users are too immature for college. Exaggerated self-importance is for toddlers only.,1425834843,257,NJ,Karen,api.nytimes.com/svc/community/v2/comments/user/id/68648238.xml,1,14351421,0,0.12397694,0,0.075,15.2,40,5.549076085,40.075738,-74.404162,0.044463853,11.940625,26.8125,17.4375,0,2.285714286
22181,approved,Because we just don\'t have enough oultets for unfettered nastiness..,1425834847,242,"Nashville, TN",Barry,api.nytimes.com/svc/community/v2/comments/user/id/22181.xml,1,14351424,0,0.000946297,0,0.090909091,10.1,11,5.488937726,36.162226,-86.774342,0.011074624,17.96624204,58.82802548,16.00636943,0.031847134,2.038961039
1614882,approved,"\""Social\"" media alright. Time to hold the developers criminally liable for not enforcing basic standards, and, if anti-abuse policies are in the terms of service agreements, that they be held civilly liable liable by victims.  ",1425834855,41,nowhere I can tell you,Chris,api.nytimes.com/svc/community/v2/comments/user/id/1614882.xml,1,14351427,0,0.014365403,0,0,15.2,36,3.713572067,NA,NA,0.026034579,17.75357377,60.98819672,12.28196721,0.015081967,17.73255814
56328718,approved,"Yik Yak’s founders say their start-up is just experiencing some growing pains. “It’s definitely still a learning process for us,” said Mr. Buffington, “and we’re definitely still learning how to make the community more constructive.”<br/><br/>Yeah, or inflicting stupid pains?  What\'s the point?  What exactly is the purpose of Yik Yak---cute name, though.   And the app\'s popular... so, apparently they\'re just serving a market demand.",1425834900,17,Boston,former MA teacher,api.nytimes.com/svc/community/v2/comments/user/id/56328718.xml,1,14351436,0,0.444730065,0.062182313,0.013513514,22.2,71,2.833213344,42.360482,-71.059568,0.017946771,21.66333333,84.33333333,5.822222222,0.027777778,4.186046512
44857210,approved,The use of the app and the content reflect the problems we have as a culture in the US.  The app itself only exposes the deeper issues with how people handle their negative emotions.  ,1425834917,40,"Ann Arbor, MI",DMG,api.nytimes.com/svc/community/v2/comments/user/id/44857210.xml,1,14351445,0,0.179401685,0.151032212,0.058823529,14.1,34,3.688879454,42.268157,-83.731229,0.031350977,23.82352941,100.0588235,9.117647059,0,0.193181818
64888004,approved,"Yik Yak\'s founders don\'t really want to make a more positive community.  It\'s the bad and ugly stuff that attracts eyeballs, just like in the \""real world.\""  It\'s writing on the bathroom wall, except that everyone can see it.",1425834956,161,"Richmond, VA",Kira N.,api.nytimes.com/svc/community/v2/comments/user/id/64888004.xml,1,14351470,0,0.41801528,0.162278328,0,14.1,43,5.081404365,37.538509,-77.43428,0.056218467,13.16085714,31.32285714,17.21714286,0.025714286,8.333333333
683439,approved,the internet has been destructive for civil discourse. this is just another nail in the coffin.,1425834960,56,massachusetts,ivehadit,api.nytimes.com/svc/community/v2/comments/user/id/683439.xml,1,14351479,0,0.012291224,0,0,10.1,16,4.025351691,42.378877,-72.032366,0.018023572,17.62013652,52.40955631,10.10409556,0.029010239,6.584269663
11525842,approved,"For a college to block access to a social network app is \""arguably tantamount to curtailing freedom of speech\""? Hardly. It\'s a perfectly reasonable condition of admission.<br/>Oops, I forgot - the secondary school system in America is now concerned primarily with the happiness of its students, with their education coming in a distant second.",1425834972,137,Vancouver WA,Mark,api.nytimes.com/svc/community/v2/comments/user/id/11525842.xml,1,14351503,0,0.115557916,0.10029061,0.017857143,19,55,4.919980926,45.630695,-122.674456,0.02317851,16.87725,50.14,7.89125,0.01,12.12121212
160272,approved,Breaking: people that can hide behind anonymity say hateful (and stupid) things. ,1425834977,51,Maywood NJ,Eric Goebelbecker,api.nytimes.com/svc/community/v2/comments/user/id/160272.xml,1,14351504,0,0.060185023,0.022540008,0,10.1,12,3.931825633,40.902599,-74.061807,0.014687744,16.56547619,51.10714286,14.85714286,0.035714286,0.988235294
27920024,approved,Perhaps Yik Yak should address the notion of lack of respect some of its users seem to have.  This being a problem fostered by some of our media.  Yik Yak merely allows mass participation in this problem.,1425834984,6,"berkeley, ca",bb,api.nytimes.com/svc/community/v2/comments/user/id/27920024.xml,1,14351508,0,0.670240482,0.245693895,0.027027027,16.3,37,1.791759469,37.870839,-122.272864,0.023465085,20.08983051,70.83050847,24.30508475,0.02259887,2.107142857
63348953,approved,"\'“We made the app for college kids, but we quickly realized it was getting into the hands of high schoolers, and high schoolers were not mature enough to use it,” said Mr. Droll.\'<br/><br/>I\'d love to know, now that I\'ve read the article, if he was actually saying that with a straight face. The college students in the article don\'t exactly come across as budding little Aristotles.",1425835016,409,Brooklyn,Emerson,api.nytimes.com/svc/community/v2/comments/user/id/63348953.xml,1,14351519,0,0.165263344,0.12007332,0.054054054,18.2,71,6.013715156,40.650104,-73.949582,0.028226322,19.09397993,71.36789298,12.93645485,0.030100334,6.229166667
71408530,approved,Wish List: Hateful opinions could be routed to the parents of the unloving yik-yakker.,1425835029,52,Detroit,Tom C,api.nytimes.com/svc/community/v2/comments/user/id/71408530.xml,0,14351524,0,0.007336008,0.011135205,0.066666667,10.1,15,3.951243719,42.348664,-83.056738,0.066666667,10.1,15,52,0,0
