commentBody,DisplayName,Latitude,Location,Longitude,Status_Accepted,UserComments,UserID,ApproveDate,CommentSequence,EditorsSelection,NumberofRecords,RecommendationCount,TimesPeople,ArticleRelevance,AVGcommentspermonth,AVGBrevity,AVGPersonalXP,AVGPicks,AVGReadability,AVGRecommendationScore,Brevity,ConversationalRelevance,PersonalXP,Readability,RecommendationScore
"It has been scaled back, not discontinued.",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,"1,423,864,019","14,131,946",0,1,0,1,0,4.855319827,31.39411532,20.93457325,15.52447562,44.62627717,27.94940354,2.112676056,1.458591143,0,14.80637813,0
"It is worth noting that Mr. Comey heads an agency that found its agents 100% faultless and totally justified in 150 out of 150 shootings of suspects -- 70 of them fatally -- from 1993 to 2011.  Likewise, under Mr. Comey, the FBI exonerated itself for the highly questionable killing of Ibragim Todashev --a friend and associate of the Tsarnaev brothers -- during questioning by FBI agents after the Boston Marathon bombings.  Simply based on the law of averages, a finding that shootings were justified 100% of the time is highly suspect.  Thus, while I respect the eloquence and erudition of Mr. Comey\'s speaking and writing, I remain very skeptical that he is in any position to present the \""hard truths\"" he purports to present in an objective way.<br/><br/>Nowhere in Mr. Comey\'s speech -- and yes, I read the full text -- did he address himself to the problems in American police culture.  The old \""blue wall of silence\"" seems to have changed little since the days Frank Serpico walked a beat.  Sure, there are many cops who do not themselves engage in wrongful conduct.  But officers good and bad are nearly universal in honoring that code of silence with respect to the wrongdoing of their colleagues (the occasional Frank Serpico or Adrian Schoolcraft notwithstanding). This turning of a blind eye towards wrongdoing within their ranks stands in direct conflict with Comey\'s assertion that police officers are \""overwhelmingly doing the right thing for the right reasons.\""",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,"1,423,797,059","14,123,195",0,1,11,1,42.60267125,4.855319827,31.39411532,20.93457325,15.52447562,44.62627717,27.94940354,85.91549296,38.5353568,7.422402159,90.66059226,38.0460136
"Some more \""hard truths\"" for Mr. Comey to consider::<br/><br/> _ one of the biggest contributors to the absence of role models for young men in poor minority neighborhoods is our decades-long, failed war on drugs;<br/><br/>_ the black teen walking down the street of Bed-Stuy has a huge chance of being stopped and frisked, and having police find that partial bag of weed in his jacket that he forgot about; whereas the white, well-dressed kid from Dalton Prep, who is just as likely to be carrying something similar, faces almost zero chance of being stopped by police (and his investment analyst father enjoys the convenience of having his coke and weed delivered to his doorman building on the Upper West Side);<br/><br/>_ in the unlikely event the Dalton Prep kid is caught, he will be provided with the best legal defense money can buy; the kid from Bed-Stuy will have to take his chances with an overworked, underfunded public defender (and he will languish in Rikers while he awaits trial);<br/><br/>_ you mention the dangers faced by police on a typical night shift, yet fail to mention that both Brown and Garner were killed in broad daylight;<br/><br/>_ any position that invests in its holder an unusual level of authority over others will attract more than its share of those who enjoy wielding that authority; if the danger is recognized, procedures can be put in place to try to weed these folks out; if it is denied, the danger will be realized, and it will metastasize..  ",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,"1,423,839,799","14,124,970",0,1,11,1,30.16867331,4.855319827,31.39411532,20.93457325,15.52447562,44.62627717,27.94940354,91.1971831,36.66008075,2.716049231,85.19362187,38.0460136
"It is evident that most Americans don\'t understand the difference between the colour of a person\'s skin and his/her race. <br/><br/>Apparently, if you live in the Land of the Free and you are white, and you see a person who made the grievous mistake of being born with too much melanin in their skin, this is a valid reason to feel alarm and anxiety, followed shortly thereafter by drawing your gun and shooting the person dead.<br/><br/>White Americans need to understand that only white South Africans share your fear of the black-skinned humans who live in your midst. Moreover, feeling fear is one thing. Succumbing to that fear and panicking is called cowardice.",Colenso,-16.920496,Cairns,145.771901,approved,api.nytimes.com/svc/community/v2/comments/user/id/26738619.xml,26738619,"1,423,839,185","14,124,787",1,1,9,1,22.29558065,8.613509137,61.81591064,21.98572353,8.083140908,72.80462564,11.73979985,40.84507042,33.28487419,0,59.68109339,34.86208805
"   Our racial divide may involve racism by cultural routes we may not even be aware of, hence, the urgent need to educate ourselves on this subject, delve into our subconscious biases, so no further harm is done; and any college that praises itself for being diverse and inclusive must not only do the preaching but factually demonstrate its commitment. And police officers ought to go through all this, become responsibly aware as they proceed with their job, protect their community so it will protect them as well. Mr. Comey seems to understand the inequities in the system, and an honest try to resolve it. But, since we cannot wish for something we don\'t know, we must be instructed in it, and know that deeds have consequences.",manfred marcus,-17.05687,Bolivia,-64.991229,approved,api.nytimes.com/svc/community/v2/comments/user/id/47112177.xml,47112177,"1,423,770,335","14,118,997",0,1,1,1,36.248209,13.612188,37.87919804,26.32834371,14.44390951,54.56363044,13.95678156,44.36619718,33.15042003,17.32283445,62.41457859,0
"Ah yes, but he did not shoplift, he merely threatened passersby with his AK47 in a show of true Americano grit, no?  Like your John Wayne or Charlstown Heston.",Claudio,-33.437913,"Santiago, Chile",-70.650456,approved,api.nytimes.com/svc/community/v2/comments/user/id/62488675.xml,62488675,"1,423,771,302","14,119,257",0,1,8,1,1.942616971,0.563624539,6.037735849,0,0,17.91277259,13.97058824,9.85915493,2.781075798,0,25.28473804,32.99329295
Open and honest conversation is the best way to find common ground and from there build a balanced and fair environment. Ignoring the crude reality with rotten excuses will only widen the existing gulf between communities. <br/><br/>The dream announced by Dr. King is so simple that I struggle to understand why in 2015 we still can\'t smoothly get past that barrier. <br/><br/>Way to go Mr. Comey.,J.C.,-8.827166,"Luanda, Angola",13.243666,approved,api.nytimes.com/svc/community/v2/comments/user/id/54574743.xml,54574743,"1,423,773,567","14,119,720",0,1,2,1,18.67876515,0.159141046,19.32389937,26.99923199,24.99999993,34.11214953,18.75,23.23943662,15.06869578,10.32863846,39.17995444,10.99776432
"Psychologists and some economists have been saying this for some time. It\'s fact, it should be used as a base to redesign training like you said but not like an excuse. ",J.C.,-8.827166,"Luanda, Angola",13.243666,approved,api.nytimes.com/svc/community/v2/comments/user/id/54574743.xml,54574743,"1,423,773,623","14,119,784",0,1,3,1,27.06261126,0.159141046,19.32389937,26.99923199,24.99999993,34.11214953,18.75,10.91549296,10.58521352,0,30.523918,17.43104403
"I salute this wonderful Officer for his upright and honest comments. His statement, \""people have unconscious racial biases\"" is a genuine statement. I could draw a parallel between the coloured people in the U.S. and Dalits in India. Even in India, Dalits face the same bias, whenever they are confronted with law enforcing agencies. The degree of suspicion on Dalits is always on the higher side even though they are innocents in most of the cases. <br/><br/>Police should not treat suspects based on their skin colour. When confronted with a suspect, the standard operating procedure should be the same for all communities.<br/><br/>Parents and teachers have a great role to play in shaping the minds of kids. Racial and religious tolerance should be taught both at home and school.",T. Anand Raj,13.080435,"Madras, India",80.282109,approved,api.nytimes.com/svc/community/v2/comments/user/id/70008528.xml,70008528,"1,423,791,940","14,122,671",0,1,12,1,30.45258966,5.636245394,46.84276728,11.21961598,39.99999994,64.76635514,18.77450981,45.42253521,26.89328427,8.208955325,67.19817768,39.42657266
"At last, a real leader! That seems ti be what the US is missing---leaders who eschew politics and simply talk, deeply and fairly, about the issues that confront us, daunting as they are. This country is in a deep hole/mess, but if no one in authority follows Comey\'s lead, we will just sink deeper. ",Carol Wheeler,19.43253,Mexico,-99.13321,approved,api.nytimes.com/svc/community/v2/comments/user/id/2622.xml,2622,"1,423,868,303","14,132,588",0,1,5,1,4.947785243,5.107412493,12.68520898,39.51195947,5.313351605,21.62392726,12.93276166,19.71830986,7.625352619,19.29824561,41.23006834,25.53601793
